Dermatology Data Dataset - K-Means Clurstering
K	SSE	NMI
5	9616.18468597	0.13905375171
6	9322.38454209	0.155723541591
7	8693.70328177	0.190884056475
8	8306.223148	0.162662499984
9	8121.71910699	0.185975360105
10	7615.34512417	0.245668149514
11	7616.55479943	0.201622564844
12	7720.49666817	0.148361485938
13	7911.47343275	0.20239101739
14	7552.65471398	0.197559517775
15	5721.79371941	0.194305827296
16	7571.16685919	0.217367603531
17	7038.16028395	0.19998652909
18	6856.17640875	0.216457425227

Soybean Data Dataset - GMM Clurstering
K	SSE	NMI
1	10086.4199292	0.0
2	9646.71753081	0.112075789513
3	8297.22246053	0.367553300102
4	8030.88025506	0.313942737441
5	7872.11351557	0.313898509737
6	7134.05822307	0.540013622284
7	7002.44609695	0.404814754256
8	6700.01760385	0.421740655468
9	6323.52664163	0.530275254556
10	6776.60730787	0.433642666658
11	6294.65419669	0.511062558105
12	6156.99209725	0.503285572047
13	5532.24040389	0.532219390268
14	5529.96287414	0.504876770135
15	5788.91663738	0.500384351877
16	5240.18030977	0.566605896412
17	5508.19239565	0.587249337241
18	4721.81996158	0.605078034897
19	4695.85394392	0.620893864236
20	4189.81599776	0.639685420625
21	4375.91432327	0.596307548146
22	4443.93633956	0.544890343533
23	4328.84172471	0.618769319128
24	4175.35000977	0.599232704115
25	4496.55811223	0.610853324367
26	4131.80019413	0.637073412575
27	3993.73252681	0.586156225218
28	3823.97077144	0.610643909612
29	3925.90539248	0.605602686726
30	3669.91353625	0.647667381598
